Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,3.081786,3.092143,2.925000,3.037500,2.599023,2920321600
2007-01-08,3.070000,3.492857,3.041071,3.379286,2.891471,9852228400
2007-01-15,3.417143,3.485714,3.147143,3.160714,2.704451,6619415600
2007-01-22,3.183571,3.184286,3.035357,3.049286,2.609107,5482111600
2007-01-29,3.082143,3.094643,2.989286,3.026786,2.589855,3621576000
2007-02-05,3.010714,3.089643,2.959286,2.973929,2.544629,4049642800
2007-02-12,3.015357,3.058571,2.986786,3.029643,2.592300,2576568400
2007-02-19,3.023214,3.243214,3.005714,3.181072,2.721869,3129134400
2007-02-26,3.208571,3.214286,2.964286,3.050357,2.610024,4956666400
2007-03-05,3.067500,3.177500,3.062857,3.141786,2.688254,3151218000
2007-03-12,3.145357,3.235714,3.140000,3.199643,2.737759,3525088000
2007-03-19,3.222857,3.370000,3.199643,3.340000,2.857856,2901150000
2007-03-26,3.356786,3.458214,3.293929,3.318214,2.839215,4065658800
2007-04-02,3.362143,3.401071,3.322143,3.381428,2.893304,1918226800
2007-04-09,3.400357,3.403571,3.216429,3.222857,2.757623,2691444000
2007-04-16,3.234643,3.296429,3.200000,3.248929,2.779929,2773691200
2007-04-23,3.271071,3.660714,3.260714,3.568571,3.053431,5459868400
2007-04-30,3.574643,3.628572,3.519643,3.600357,3.080629,2612243200
2007-05-07,3.610000,3.897500,3.607500,3.883571,3.322961,4214266000
2007-05-14,3.915000,3.951429,3.693571,3.929286,3.362075,4089864800
2007-05-21,3.939643,4.107143,3.930357,4.057857,3.472086,3643998400
2007-05-28,4.087500,4.363214,4.024643,4.228571,3.618158,4306467200
2007-06-04,4.236786,4.557500,4.210714,4.446072,3.804260,6076462000
2007-06-11,4.500000,4.505357,4.121428,4.303571,3.682331,6806662800
2007-06-18,4.402857,4.470714,4.311429,4.392857,3.758728,4250064000
2007-06-25,4.435357,4.467500,4.240000,4.358572,3.729392,5261090800
2007-07-02,4.323214,4.762143,4.260714,4.725000,4.042926,4485090400
2007-07-09,4.727857,4.923214,4.600357,4.918929,4.208858,4684814400
2007-07-16,4.942500,5.149286,4.858572,5.133929,4.392823,4303594400
2007-07-23,5.118214,5.318572,4.791071,5.137500,4.395877,7675693200
2007-07-30,5.154643,5.194643,4.563214,4.708929,4.029173,6151370400
2007-08-06,4.746428,4.901429,4.296429,4.464286,3.819844,5219348400
2007-08-13,4.582857,4.619643,3.986428,4.359286,3.730003,5546522800
2007-08-20,4.427143,4.834643,4.303571,4.832143,4.134600,4946802000
2007-08-27,4.763928,4.987500,4.522500,4.945714,4.231778,5366135600
2007-09-03,4.997857,5.208571,4.642857,4.706071,4.026729,6976902800
2007-09-10,4.892500,4.978571,4.776786,4.957500,4.241862,4745977600
2007-09-17,4.963929,5.166071,4.914286,5.148214,4.405046,4715062800
2007-09-24,5.240357,5.535714,5.237500,5.481071,4.689852,4493280400
2007-10-01,5.522500,5.770714,5.461786,5.766071,4.933712,3922086000
2007-10-08,5.838929,6.138571,5.471786,5.973214,5.110952,5239973200
2007-10-15,5.999286,6.236786,5.839286,6.086429,5.207823,5388829600
2007-10-22,6.083929,6.735714,6.070000,6.596428,5.644203,6413624000
2007-10-29,6.623214,6.790000,6.428571,6.709643,5.741074,4120429600
2007-11-05,6.617500,6.881429,5.900357,5.906072,5.053504,6169990400
2007-11-12,5.902857,6.341786,5.379643,5.942500,5.084672,7828584400
2007-11-19,5.932143,6.155357,5.789286,6.126429,5.242050,4381638800
2007-11-26,6.199643,6.703571,6.071786,6.507857,5.568418,6012426000
2007-12-03,6.495000,6.963929,6.321072,6.939286,5.937567,4593548400
2007-12-10,6.913929,7.029643,6.634286,6.799643,5.818082,4597894000
2007-12-17,6.811429,6.925357,6.378572,6.925357,5.925649,4842793200
2007-12-24,6.965357,7.248571,6.956786,7.136786,6.106557,2679110000
2007-12-31,7.125000,7.160714,6.388928,6.430357,5.502106,3916410400
2008-01-07,6.473214,6.557143,6.010714,6.167500,5.277194,8125152000
2008-01-14,6.340000,6.407857,5.596428,5.762857,4.930962,9139776800
2008-01-21,5.287857,5.713572,4.505000,4.643214,3.972945,9368329600
2008-01-28,4.577143,4.880357,4.516071,4.776786,4.087235,6174296800
2008-02-04,4.793214,4.853571,4.188214,4.481429,3.834513,7052852800
2008-02-11,4.571786,4.678571,4.415000,4.451071,3.808537,5251344000
2008-02-18,4.499643,4.526786,4.138214,4.266428,3.650550,4440478000
2008-02-25,4.235357,4.721428,4.122857,4.465000,3.820458,7110535600
2008-03-03,4.444286,4.553571,4.214286,4.366071,3.735808,7304424400
2008-03-10,4.356429,4.653572,4.263214,4.521786,3.869045,5641904800
2008-03-17,4.376786,4.796072,4.376786,4.759643,4.072567,4197043200
2008-03-24,4.786071,5.205000,4.772857,5.107500,4.370210,5015836000
2008-03-31,5.116786,5.525357,5.090000,5.467143,4.677936,4751586000
2008-04-07,5.576071,5.703214,5.228571,5.255000,4.496418,5211858400
2008-04-14,5.241786,5.795000,5.162143,5.751429,4.921184,4069931600
2008-04-21,5.793214,6.110714,5.646071,6.061786,5.186738,6671456400
2008-04-28,6.062500,6.497143,6.040357,6.462143,5.529303,4759874000
2008-05-05,6.497143,6.721428,6.447857,6.551786,5.606003,4502719200
2008-05-12,6.614643,6.865714,6.530357,6.700714,5.733435,4197600400
2008-05-19,6.709286,6.738929,6.142857,6.470357,5.536331,5186980400
2008-05-26,6.526786,6.769286,6.494286,6.741071,5.767967,2791255600
2008-06-02,6.735714,6.783928,6.512143,6.630000,5.672929,3879212400
2008-06-09,6.599643,6.670714,5.903929,6.156072,5.267415,6645175600
2008-06-16,6.117857,6.512143,6.038214,6.259643,5.356035,4443171600
2008-06-23,6.240714,6.386786,5.862500,6.074643,5.197740,3824038400
2008-06-30,6.078214,6.337500,5.857143,6.075714,5.198656,3156358800
2008-07-07,6.184286,6.461071,6.107143,6.163571,5.273830,4375218400
2008-07-14,6.401429,6.403572,5.892857,5.898214,5.046778,4299828400
2008-07-21,5.960714,6.013214,5.233214,5.790000,4.954185,5775086800
2008-07-28,5.797857,5.802500,5.487500,5.595000,4.787335,3372104400
2008-08-04,5.592857,6.058928,5.461071,6.055357,5.181238,3458677600
2008-08-11,6.073928,6.444643,6.059643,6.276429,5.370398,3989482000
2008-08-18,6.270357,6.350357,6.136071,6.313929,5.402483,2654526000
2008-08-25,6.291071,6.294643,6.037143,6.054643,5.180626,2438430400
2008-09-01,6.157143,6.196429,5.630357,5.720714,4.894902,3045868000
2008-09-08,5.877500,5.888928,5.214286,5.319286,4.551421,5028310000
2008-09-15,5.072500,5.274643,4.310000,5.032500,4.306034,6428055200
2008-09-22,4.997857,5.008929,4.392857,4.580000,3.918856,5316589600
2008-09-29,4.272143,4.274286,3.380357,3.466786,2.966339,9448986400
2008-10-06,3.284286,3.625000,3.035714,3.457143,2.958089,10030613600
2008-10-13,3.733929,4.157143,3.067500,3.478571,2.976424,8846994800
2008-10-20,3.563571,3.616071,3.218214,3.442143,2.945254,9257127600
2008-10-27,3.395357,4.006786,3.280714,3.842500,3.287817,8091728400
2008-11-03,3.783214,3.992500,3.418571,3.508571,3.002092,6127402400
2008-11-10,3.577500,3.585714,3.072143,3.222857,2.757623,6786690400
2008-11-17,3.160000,3.270714,2.826429,2.949286,2.523543,6830208000
2008-11-24,3.043214,3.401786,3.030000,3.309643,2.831881,3875160800
2008-12-01,3.260714,3.436786,3.089286,3.357143,2.872524,5546335200
2008-12-08,3.474286,3.700000,3.304643,3.509643,3.003009,5408477200
2008-12-15,3.428214,3.445714,3.143571,3.214286,2.750289,4938460800
2008-12-22,3.215000,3.215357,3.019643,3.064643,2.622247,2059430800
2008-12-29,3.090000,3.251429,3.025714,3.241071,2.773207,3007158000
2009-01-05,3.327500,3.470357,3.215714,3.235000,2.768013,4444314000
2009-01-12,3.230714,3.249643,2.858929,2.940357,2.515903,5317037600
2009-01-19,2.926071,3.214286,2.792857,3.155714,2.700172,4182483200
2009-01-26,3.173571,3.392857,3.153571,3.218929,2.754261,3415890800
2009-02-02,3.182143,3.571429,3.175000,3.561429,3.047320,3402434000
2009-02-09,3.571429,3.678571,3.420357,3.541429,3.030207,3665211200
2009-02-16,3.459643,3.465714,3.178571,3.257143,2.786959,3036138000
2009-02-23,3.273214,3.318571,3.089643,3.189643,2.729203,3763667600
2009-03-02,3.147143,3.313214,2.940357,3.046429,2.606663,3954720000
2009-03-09,3.006428,3.471429,2.948929,3.426071,2.931502,3758554800
2009-03-16,3.447500,3.695714,3.363571,3.628214,3.104465,3575695200
2009-03-23,3.668214,3.927857,3.633929,3.816072,3.265204,3062752000
2009-03-30,3.732500,4.147500,3.664643,4.142500,3.544511,3110856000
2009-04-06,4.105000,4.285714,4.045714,4.270357,3.653911,2181032000
2009-04-13,4.286071,4.437500,4.134286,4.407857,3.771563,2347682400
2009-04-20,4.347500,4.542857,4.235714,4.425000,3.786231,3361839600
2009-04-27,4.389286,4.569643,4.380714,4.544286,3.888297,2290663200
2009-05-04,4.580000,4.767857,4.509286,4.613929,3.947887,2480892400
2009-05-11,4.548929,4.677143,4.263571,4.372143,3.741003,2425505600
2009-05-18,4.418929,4.618214,4.341786,4.375000,3.743448,1925792400
2009-05-25,4.455714,4.853571,4.448214,4.850357,4.150186,2227436400
2009-06-01,4.873929,5.228571,4.857143,5.166786,4.420936,2657272800
2009-06-08,5.136428,5.162857,4.858572,4.891786,4.185633,3385149600
2009-06-15,4.857500,4.982143,4.804643,4.981429,4.262337,2775505600
2009-06-22,5.023929,5.127143,4.745714,5.087143,4.352791,2855804000
2009-06-29,5.123571,5.166429,4.992500,5.000714,4.278837,1786498000
2009-07-06,4.953571,4.988572,4.800714,4.947143,4.232999,2324515200
2009-07-13,4.983572,5.429286,4.911786,5.419643,4.637294,2312060800
2009-07-20,5.473928,5.714286,5.348214,5.713929,4.889097,3449737200
2009-07-27,5.720357,5.892857,5.616428,5.835357,4.992996,2071165600
2009-08-03,5.900357,5.978214,5.824643,5.911071,5.057781,1942206000
2009-08-10,5.916429,6.023929,5.781428,5.956429,5.096591,1846504800
2009-08-17,5.841072,6.048929,5.693572,6.043571,5.171154,2126910800
2009-08-24,6.075714,6.160357,5.886786,6.073214,5.196517,1938165600
2009-08-31,6.005714,6.096428,5.861072,6.082500,5.204463,1813198800
2009-09-07,6.177857,6.231071,6.060714,6.148571,5.260998,1966230000
2009-09-14,6.101071,6.671072,6.080357,6.607857,5.653982,2914660000
2009-09-21,6.581786,6.746428,6.480000,6.513214,5.573001,2384152400
2009-09-28,6.566786,6.692857,6.453571,6.603571,5.650316,2300435200
2009-10-05,6.650000,6.837500,6.581071,6.802500,5.820527,2225370000
2009-10-12,6.822143,6.868571,6.708571,6.716072,5.746575,1816539200
2009-10-19,6.708929,7.453928,6.626786,7.283571,6.232154,4489175600
2009-10-26,7.273929,7.383929,6.720357,6.732143,5.760328,3347072400
2009-11-02,6.778572,6.971071,6.627500,6.940714,5.938790,2368954000
2009-11-09,7.033571,7.321429,7.009286,7.301786,6.247740,2080892800
2009-11-16,7.338572,7.428571,7.062857,7.140000,6.109308,2205033600
2009-11-23,7.250000,7.357143,7.084643,7.163929,6.129782,1375046400
2009-11-30,7.182500,7.241786,6.795714,6.904286,5.907619,2881485600
2009-12-07,6.904286,7.132143,6.738572,6.952500,5.948874,3009384000
2009-12-14,6.977500,7.053928,6.821429,6.979643,5.972098,2265844000
2009-12-21,7.001786,7.476786,6.988214,7.465714,6.388003,1807836800
2009-12-28,7.561429,7.641071,7.439643,7.526072,6.439648,1854266400
2010-01-04,7.622500,7.699643,7.466072,7.570714,6.477847,2572536400
2010-01-11,7.600000,7.607143,7.289286,7.354643,6.292967,2689542800
2010-01-18,7.440357,7.698214,7.041429,7.062500,6.042995,2832082400
2010-01-25,7.232500,7.632500,6.794643,6.859286,5.869116,7074832800
2010-02-01,6.870357,7.150000,6.816072,6.980714,5.973016,3671505600
2010-02-08,6.988929,7.201428,6.928571,7.156428,6.123366,2687333600
2010-02-15,7.212143,7.296786,7.173572,7.202500,6.162786,1818429200
2010-02-22,7.226429,7.327500,6.989643,7.307857,6.252933,2598811600
2010-03-01,7.348214,7.846428,7.337500,7.819643,6.690841,2754354400
2010-03-08,7.857500,8.133214,7.781785,8.092857,6.924616,2768390800
2010-03-15,8.049286,8.087500,7.866071,7.937500,6.791684,2292922800
2010-03-22,7.873929,8.283929,7.862500,8.246428,7.056019,2839790800
2010-03-29,8.321428,8.526072,8.272142,8.427500,7.210952,2101859200
2010-04-05,8.392143,8.640000,8.384643,8.635357,7.388804,2667198800
2010-04-12,8.650000,8.969286,8.611072,8.835714,7.560237,2170644000
2010-04-19,8.822500,9.720715,8.634643,9.672500,8.276231,3878022400
2010-04-26,9.710000,9.730714,9.157500,9.324643,7.978589,3048119200
2010-05-03,9.422857,9.567142,7.116071,8.423572,7.207590,5023144000
2010-05-10,8.937500,9.464286,8.876071,9.065000,7.756426,3846668000
2010-05-17,9.096429,9.233929,8.262500,8.654285,7.405000,5078046400
2010-05-24,8.831429,9.264286,8.470000,9.174286,7.849935,4134796400
2010-05-31,9.274643,9.497857,9.093928,9.141429,7.821823,2973432000
